init_wall_time,init_cpu_time,preprocessing_wall_time,preprocessinf_cpu_time,run_wall_time,run_cpu_time,init_mem_peak,run_mem_peak,preprocessing_mem_peak,code
5.0045549869537354e-05,4.791100000023363e-05,133.30433767661452,130.501315054,22.046935491263866,1.9450571839999782,0.00360107421875,12.497746467590332,177.66481685638428,five_branches_False_0.3_0.3_10:10:10.h5mu
5.1081180572509766e-05,4.938900000084345e-05,135.14234195277095,132.702563549,22.939883895218372,2.00451529999998,0.00360107421875,13.376566886901855,177.66637229919434,five_branches_False_0.3_0.3_10:10:50.h5mu
5.3826719522476196e-05,5.1940000000527675e-05,133.97265239059925,131.617077152,24.56179156154394,2.0791965499999776,0.00360107421875,14.271928787231445,177.66532707214355,five_branches_False_0.3_0.3_10:10:70.h5mu
6.183981895446777e-05,6.0174999999773604e-05,134.5378571897745,132.209433347,24.173742216080427,2.1264980500000092,0.00360107421875,13.297883987426758,177.6559295654297,five_branches_False_0.3_0.3_10:10:30.h5mu
5.0045549869537354e-05,4.791100000023363e-05,133.30433767661452,130.501315054,3.148865107446909,1.5005379739999967,0.00360107421875,12.387874603271484,177.66481685638428,five_branches_True_0.3_0.3_10:10:10.h5mu
5.3826719522476196e-05,5.1940000000527675e-05,133.97265239059925,131.617077152,3.194339282810688,1.5414802099999747,0.00360107421875,14.157523155212402,177.66532707214355,five_branches_True_0.3_0.3_10:10:70.h5mu
5.1081180572509766e-05,4.938900000084345e-05,135.14234195277095,132.702563549,3.4006179347634315,1.4940944460000196,0.00360107421875,13.309470176696777,177.66637229919434,five_branches_True_0.3_0.3_10:10:50.h5mu
4.545971751213074e-05,4.397900000085997e-05,152.75461095944047,143.495334041,23.774860627949238,1.920795577000007,0.00360107421875,12.93747329711914,180.71771240234375,five_branches_False_0.3_0.3_10:30:30.h5mu
6.183981895446777e-05,6.0174999999773604e-05,134.5378571897745,132.209433347,4.509717423468828,1.5252716299999918,0.00360107421875,13.190926551818848,177.6559295654297,five_branches_True_0.3_0.3_10:10:30.h5mu
6.116554141044617e-05,5.899000000120225e-05,157.25246886909008,143.67252059199998,25.337291684001684,2.030668609000003,0.00360107421875,13.419575691223145,180.71630477905273,five_branches_False_0.3_0.3_10:30:50.h5mu
6.14561140537262e-05,5.939299999990766e-05,158.5030630901456,144.48912877,25.896459829062223,2.039728327000006,0.00360107421875,12.447548866271973,180.71660232543945,five_branches_False_0.3_0.3_10:30:10.h5mu
4.9717724323272705e-05,4.7522000000022047e-05,159.87457440420985,145.30233317,24.87743541225791,2.0675652209999953,0.00360107421875,13.934991836547852,180.717791557312,five_branches_False_0.3_0.3_10:30:70.h5mu
4.545971751213074e-05,4.397900000085997e-05,152.75461095944047,143.495334041,3.6246563978493214,1.4851167859999919,0.00360107421875,12.902195930480957,180.71771240234375,five_branches_True_0.3_0.3_10:30:30.h5mu
5.2090734243392944e-05,5.0045000000054074e-05,177.07374335080385,157.14657509,17.77496850118041,2.1328386800000203,0.00360107421875,13.341936111450195,183.76653480529785,five_branches_False_0.3_0.3_10:50:30.h5mu
6.116554141044617e-05,5.899000000120225e-05,157.25246886909008,143.67252059199998,2.8313321582973003,1.4500196809999863,0.00360107421875,13.308201789855957,180.71630477905273,five_branches_True_0.3_0.3_10:30:50.h5mu
6.14561140537262e-05,5.939299999990766e-05,158.5030630901456,144.48912877,2.9447008296847343,1.4514792790000115,0.00360107421875,12.384810447692871,180.71660232543945,five_branches_True_0.3_0.3_10:30:10.h5mu
5.977600812911987e-05,5.848800000052279e-05,188.90505787357688,157.153257964,13.44834453612566,1.9277057830000217,0.00360107421875,12.552811622619629,183.769268989563,five_branches_False_0.3_0.3_10:50:10.h5mu
4.9717724323272705e-05,4.7522000000022047e-05,159.87457440420985,145.30233317,3.3877992033958435,1.5397608989999867,0.00360107421875,13.86535358428955,180.717791557312,five_branches_True_0.3_0.3_10:30:70.h5mu
5.2090734243392944e-05,5.0045000000054074e-05,177.07374335080385,157.14657509,1.895255919545889,1.4350028709999947,0.00360107421875,13.194811820983887,183.76653480529785,five_branches_True_0.3_0.3_10:50:30.h5mu
5.977600812911987e-05,5.848800000052279e-05,188.90505787357688,157.153257964,2.834633205085993,1.4923922620000099,0.00360107421875,12.453628540039062,183.769268989563,five_branches_True_0.3_0.3_10:50:10.h5mu
6.28940761089325e-05,6.069400000008329e-05,127.77266684547067,125.861274339,12.114507216960192,1.7470836010000141,0.00360107421875,14.047990798950195,181.91015625,three_branches_False_0.7_0.1_10:10:70.h5mu
6.28940761089325e-05,6.069400000008329e-05,127.77266684547067,125.861274339,10.191225335001945,1.7526590960000021,0.00360107421875,13.821701049804688,181.91015625,three_branches_True_0.7_0.1_10:10:70.h5mu
5.5439770221710205e-05,5.268700000016224e-05,143.82336105406284,135.342884905,30.166281763464212,2.0882264740000096,0.00360107421875,12.987321853637695,184.95858001708984,three_branches_False_0.7_0.1_10:30:30.h5mu
5.351752042770386e-05,5.1047999999553895e-05,142.99896905198693,135.736308156,31.136852826923132,2.3329153399999996,0.00360107421875,15.445063591003418,184.95927047729492,three_branches_False_0.7_0.1_10:30:10.h5mu
5.4448843002319336e-05,5.196300000065435e-05,139.19585244357586,136.37163775300002,29.125669311732054,2.054791998000013,0.00360107421875,13.416089057922363,184.95903491973877,three_branches_False_0.7_0.1_10:30:50.h5mu
6.26780092716217e-05,6.063000000011698e-05,142.68906850740314,135.779475458,28.6948108561337,2.04417373199999,0.00360107421875,13.666955947875977,184.958966255188,three_branches_False_0.7_0.1_10:30:70.h5mu
