0.1,0.3,100,30,30,750,100,False
0.1,0.3,100,30,50,250,30,False
0.1,0.3,100,30,50,250,50,False
0.1,0.3,100,30,50,250,100,False
0.1,0.3,100,30,50,500,30,False
0.1,0.3,100,30,50,500,50,False
0.1,0.3,100,30,50,500,100,False
0.1,0.3,100,30,50,750,30,False
0.1,0.3,100,30,50,750,50,False
0.1,0.3,100,30,50,750,100,False
0.1,0.3,100,30,70,250,30,False
0.1,0.3,100,30,70,250,50,False
0.1,0.3,100,30,70,250,100,False
0.1,0.3,100,30,70,500,30,False
0.1,0.3,100,30,70,500,50,False
0.1,0.3,100,30,70,500,100,False
0.1,0.3,100,30,70,750,30,False
0.1,0.3,100,30,70,750,50,False
0.1,0.3,100,30,70,750,100,False
0.1,0.3,100,30,100,250,30,False
0.1,0.3,100,30,100,250,50,False
0.1,0.3,100,30,100,250,100,False
0.1,0.3,100,30,100,500,30,False
0.1,0.3,100,30,100,500,50,False
0.1,0.3,100,30,100,500,100,False
0.1,0.3,100,30,100,750,30,False
0.1,0.3,100,30,100,750,50,False
0.1,0.3,100,30,100,750,100,False
0.1,0.3,100,50,30,250,30,False
0.1,0.3,100,50,30,250,50,False
0.1,0.3,100,50,30,250,100,False
0.1,0.3,100,50,30,500,30,False
0.1,0.3,100,50,30,500,50,False
0.1,0.3,100,50,30,500,100,False
0.1,0.3,100,50,30,750,30,False
0.1,0.3,100,50,30,750,50,False
0.1,0.3,100,50,30,750,100,False
0.1,0.3,100,50,50,250,30,False
0.1,0.3,100,50,50,250,50,False
0.1,0.3,100,50,50,250,100,False
0.1,0.3,100,50,50,500,30,False
0.1,0.3,100,50,50,500,50,False
0.1,0.3,100,50,50,500,100,False
0.1,0.3,100,50,50,750,30,False
0.1,0.3,100,50,50,750,50,False
0.1,0.3,100,50,50,750,100,False
0.1,0.3,100,50,70,250,30,False
0.1,0.3,100,50,70,250,50,False
0.1,0.3,100,50,70,250,100,False
0.1,0.3,100,50,70,500,30,False
0.1,0.3,100,50,70,500,50,False
0.1,0.3,100,50,70,500,100,False
0.1,0.3,100,50,70,750,30,False
0.1,0.3,100,50,70,750,50,False
0.1,0.3,100,50,70,750,100,False
0.1,0.3,100,50,100,250,30,False
0.1,0.3,100,50,100,250,50,False
0.1,0.3,100,50,100,250,100,False
0.1,0.3,100,50,100,500,30,False
0.1,0.3,100,50,100,500,50,False
0.1,0.3,100,50,100,500,100,False
0.1,0.3,100,50,100,750,30,False
0.1,0.3,100,50,100,750,50,False
0.1,0.3,100,50,100,750,100,False
0.1,0.3,100,70,30,250,30,False
0.1,0.3,100,70,30,250,50,False
0.1,0.3,100,70,30,250,100,False
0.1,0.3,100,70,30,500,30,False
0.1,0.3,100,70,30,500,50,False
0.1,0.3,100,70,30,500,100,False
0.1,0.3,100,70,30,750,30,False
0.1,0.3,100,70,30,750,50,False
0.1,0.3,100,70,30,750,100,False
0.1,0.3,100,70,50,250,30,False
0.1,0.3,100,70,50,250,50,False
0.1,0.3,100,70,50,250,100,False
0.1,0.3,100,70,50,500,30,False
0.1,0.3,100,70,50,500,50,False
0.1,0.3,100,70,50,500,100,False
0.1,0.3,100,70,50,750,30,False
0.1,0.3,100,70,50,750,50,False
0.1,0.3,100,70,50,750,100,False
0.1,0.3,100,70,70,250,30,False
0.1,0.3,100,70,70,250,50,False
0.1,0.3,100,70,70,250,100,False
0.1,0.3,100,70,70,500,30,False
0.1,0.3,100,70,70,500,50,False
0.1,0.3,100,70,70,500,100,False
0.1,0.3,100,70,70,750,30,False
0.1,0.3,100,70,70,750,50,False
0.1,0.3,100,70,70,750,100,False
0.1,0.3,100,70,100,250,30,False
0.1,0.3,100,70,100,250,50,False
0.1,0.3,100,70,100,250,100,False
0.1,0.3,100,70,100,500,30,False
0.1,0.3,100,70,100,500,50,False
0.1,0.3,100,70,100,500,100,False
0.1,0.3,100,70,100,750,30,False
0.1,0.3,100,70,100,750,50,False
0.1,0.3,100,70,100,750,100,False
0.1,0.3,100,100,30,250,30,False
0.1,0.3,100,100,30,250,50,False
0.1,0.3,100,100,30,250,100,False
0.1,0.3,100,100,30,500,30,False
0.1,0.3,100,100,30,500,50,False
0.1,0.3,100,100,30,500,100,False
0.1,0.3,100,100,30,750,30,False
0.1,0.3,100,100,30,750,50,False
0.1,0.3,100,100,30,750,100,False
0.1,0.3,100,100,50,250,30,False
0.1,0.3,100,100,50,250,50,False
0.1,0.3,100,100,50,250,100,False
0.1,0.3,100,100,50,500,30,False
0.1,0.3,100,100,50,500,50,False
0.1,0.3,100,100,50,500,100,False
0.1,0.3,100,100,50,750,30,False
0.1,0.3,100,100,50,750,50,False
0.1,0.3,100,100,50,750,100,False
0.1,0.3,100,100,70,250,30,False
0.1,0.3,100,100,70,250,50,False
0.1,0.3,100,100,70,250,100,False
0.1,0.3,100,100,70,500,30,False
0.1,0.3,100,100,70,500,50,False
0.1,0.3,100,100,70,500,100,False
0.1,0.3,100,100,70,750,30,False
0.1,0.3,100,100,70,750,50,False
0.1,0.3,100,100,70,750,100,False
0.1,0.3,100,100,100,250,30,False
0.1,0.3,100,100,100,250,50,False
0.1,0.3,100,100,100,250,100,False
0.1,0.3,100,100,100,500,30,False
0.1,0.3,100,100,100,500,50,False
0.1,0.3,100,100,100,500,100,False
0.1,0.3,100,100,100,750,30,False
0.1,0.3,100,100,100,750,50,False
0.1,0.3,100,100,100,750,100,False
0.3,0.5,30,30,30,500,30,False
0.3,0.5,30,30,50,500,30,False
0.3,0.5,30,30,70,500,30,False
0.3,0.5,30,30,100,500,30,False
0.3,0.5,30,50,30,500,30,False
0.3,0.5,30,50,50,500,30,False
0.3,0.5,30,50,70,500,30,False
0.3,0.5,30,50,100,500,30,False
0.3,0.5,30,70,30,500,30,False
0.3,0.5,30,70,50,500,30,False
0.3,0.5,30,70,70,500,30,False
0.3,0.5,30,70,100,500,30,False
0.3,0.5,30,100,30,500,30,False
0.3,0.5,30,100,50,500,30,False
0.3,0.5,30,100,70,500,30,False
0.3,0.5,30,100,100,500,30,False
0.3,0.5,100,30,30,500,100,False
0.3,0.5,100,30,30,750,50,False
0.3,0.5,100,30,50,500,100,False
0.3,0.5,100,30,50,750,50,False
0.3,0.5,100,30,70,500,100,False
0.3,0.5,100,30,70,750,50,False
0.3,0.5,100,30,100,500,100,False
0.3,0.5,100,30,100,750,50,False
0.3,0.5,100,50,30,500,100,False
0.3,0.5,100,50,30,750,50,False
0.3,0.5,100,50,50,500,100,False
0.3,0.5,100,50,50,750,50,False
0.3,0.5,100,50,70,500,100,False
0.3,0.5,100,50,70,750,50,False
0.3,0.5,100,50,100,500,100,False
0.3,0.5,100,50,100,750,50,False
0.3,0.5,100,70,30,500,100,False
0.3,0.5,100,70,30,750,50,False
0.3,0.5,100,70,50,500,100,False
0.3,0.5,100,70,50,750,50,False
0.3,0.5,100,70,70,500,100,False
0.3,0.5,100,70,70,750,50,False
0.3,0.5,100,70,100,500,100,False
0.3,0.5,100,70,100,750,50,False
0.3,0.5,100,100,30,500,100,False
0.3,0.5,100,100,30,750,50,False
0.3,0.5,100,100,50,500,100,False
0.3,0.5,100,100,50,750,50,False
0.3,0.5,100,100,70,500,100,False
0.3,0.5,100,100,70,750,50,False
0.3,0.5,100,100,100,500,100,False
0.3,0.5,100,100,100,750,50,False
0.3,0.7,100,30,30,250,30,False
0.3,0.7,100,30,30,500,30,False
0.3,0.7,100,30,50,250,30,False
0.3,0.7,100,30,50,500,30,False
0.3,0.7,100,30,70,250,30,False
0.3,0.7,100,30,70,500,30,False
0.3,0.7,100,30,100,250,30,False
0.3,0.7,100,30,100,500,30,False
0.3,0.7,100,50,30,250,30,False
0.3,0.7,100,50,30,500,30,False
0.3,0.7,100,50,50,250,30,False
0.3,0.7,100,50,50,500,30,False
0.3,0.7,100,50,70,250,30,False
0.3,0.7,100,50,70,500,30,False
0.3,0.7,100,50,100,250,30,False
0.3,0.7,100,50,100,500,30,False
0.3,0.7,100,70,30,250,30,False
0.3,0.7,100,70,30,500,30,False
0.3,0.7,100,70,50,250,30,False
0.3,0.7,100,70,50,500,30,False
0.3,0.7,100,70,70,250,30,False
0.3,0.7,100,70,70,500,30,False
0.3,0.7,100,70,100,250,30,False
0.3,0.7,100,70,100,500,30,False
0.3,0.7,100,100,30,250,30,False
0.3,0.7,100,100,30,500,30,False
0.3,0.7,100,100,50,250,30,False
0.3,0.7,100,100,50,500,30,False
0.3,0.7,100,100,70,250,30,False
0.3,0.7,100,100,70,500,30,False
0.3,0.7,100,100,100,250,30,False
0.3,0.7,100,100,100,500,30,False
0.7,0.7,70,30,30,250,50,False
0.7,0.7,70,30,30,500,50,False
0.7,0.7,70,30,50,250,50,False
0.7,0.7,70,30,50,500,50,False
0.7,0.7,70,30,70,250,50,False
0.7,0.7,70,30,70,500,50,False
0.7,0.7,70,30,100,250,50,False
0.7,0.7,70,30,100,500,50,False
0.7,0.7,70,50,30,250,50,False
0.7,0.7,70,50,30,500,50,False
0.7,0.7,70,50,50,250,50,False
0.7,0.7,70,50,50,500,50,False
0.7,0.7,70,50,70,250,50,False
0.7,0.7,70,50,70,500,50,False
0.7,0.7,70,50,100,250,50,False
0.7,0.7,70,50,100,500,50,False
0.7,0.7,70,70,30,250,50,False
0.7,0.7,70,70,30,500,50,False
0.7,0.7,70,70,50,250,50,False
0.7,0.7,70,70,50,500,50,False
0.7,0.7,70,70,70,250,50,False
0.7,0.7,70,70,70,500,50,False
0.7,0.7,70,70,100,250,50,False
0.7,0.7,70,70,100,500,50,False
0.7,0.7,70,100,30,250,50,False
0.7,0.7,70,100,30,500,50,False
0.7,0.7,70,100,50,250,50,False
0.7,0.7,70,100,50,500,50,False
0.7,0.7,70,100,70,250,50,False
0.7,0.7,70,100,70,500,50,False
0.7,0.7,70,100,100,250,50,False
0.7,0.7,70,100,100,500,50,False
0.7,0.7,100,30,30,250,30,False
0.7,0.7,100,30,50,250,30,False
0.7,0.7,100,30,70,250,30,False
0.7,0.7,100,30,100,250,30,False
0.7,0.7,100,50,30,250,30,False
0.7,0.7,100,50,50,250,30,False
0.7,0.7,100,50,70,250,30,False
0.7,0.7,100,50,100,250,30,False
0.7,0.7,100,70,30,250,30,False
0.7,0.7,100,70,50,250,30,False
0.7,0.7,100,70,70,250,30,False
0.7,0.7,100,70,100,250,30,False
0.7,0.7,100,100,30,250,30,False
0.7,0.7,100,100,50,250,30,False
0.7,0.7,100,100,70,250,30,False
0.7,0.7,100,100,100,250,30,False
0.7,0.9,30,30,30,500,100,False
0.7,0.9,30,30,50,500,100,False
0.7,0.9,30,30,70,500,100,False
0.7,0.9,30,30,100,500,100,False
